deck,name,lat,lng,country,state,wordCount,date,link
"Lobster and snow crab fisheries are booming, but the bait used to catch them—herring and mackerel—is not, so the search for alternative baits is on.",Is Sausage the Missing Link in the Great Bait Debate?,46.1490959,-63.21940120000001,Canada,Prince Edward Island,"3,700 words, about 19 minutes",2022-11-29T00:05:52,https://hakaimagazine.com/features/is-sausage-the-missing-link-in-the-great-bait-debate/
"From the Arctic to the Antarctic and from the smallest bioluminescent organism to the biggest whales, this season’s selections take readers through the world’s oceans and introduce them to a range of incredible species.",“Earth’s Beating Heart”: 12 Coastal-Themed Books to Help Kids Grow Their Understanding and Empathy,,,,,"2,000 words, about 10 minutes",2022-11-24T00:05:49,https://hakaimagazine.com/features/earths-beating-heart-12-coastal-themed-books-to-help-kids-grow-their-understanding-and-empathy/
Coastal communities around the world contend with the toxic legacies of pulp and paper mills.,The Price of Paper,48.87897599999999,-123.651048,Canada,British Columbia,"2,900 words, about 14 minutes",2022-11-22T00:05:01,https://hakaimagazine.com/features/the-price-of-paper/
"The Yak Titʸu Titʸu Yak Tiłhini in California have requested the return of their coastal homelands, currently occupied by a nuclear power plant.",Returning Diablo Canyon Lands to Indigenous Hands,35.2116935,-120.8550374,United States,California,,2022-11-15T00:05:41,https://hakaimagazine.com/features/returning-diablo-canyon-lands-to-indigenous-hands/
"In Howe Sound, British Columbia, a new generation of stewards is keeping careful tabs on the comeback efforts of a tiny fish with big cultural value.",Welcoming Herring Home,49.56520991235588,-123.28704543547629,Canada,British Columbia,"2,800 words, about 14 minutes",2022-11-08T00:05:44,https://hakaimagazine.com/features/welcoming-herring-home/
"Greenlanders are largely in favor of extracting the sand pouring from their melting ice sheet, as long as Greenland reaps the rewards.",Greenland’s Melting Ice Sheet Brings an Unexpected Flow of Wealth Potential,,,,,"1,500 words, about 7 minutes",2022-11-03T00:05:05,https://hakaimagazine.com/features/greenlands-melting-ice-sheet-brings-an-unexpected-flow-of-wealth-potential/
"At the DeFelice Marine Center, researchers and staff are living, working, and adapting to climate change in real time.",The Marine Lab in the Path of Fury,29.254758011446,-90.66212638433609,United States,Louisiana,"3,400 words, about 17 minutes",2022-11-01T00:05:41,https://hakaimagazine.com/features/the-marine-lab-in-the-path-of-fury/
"In the face of bigger wildfires, deadlier floods, and more extreme weather, plaintiffs around the world are taking up a new tactic: suing for the damage climate change has already wrought.",Climate Activists Are Waging a New Kind of Legal Fight,,,,,"1,900 words, about 10 minutes",2022-10-25T00:05:22,https://hakaimagazine.com/features/climate-activists-are-waging-a-new-kind-of-legal-fight/
"When a grainy video of a grisly mass shooting on the high seas surfaced, one determined detective and a host of NGOs went on a quest for justice.",Murder at Sea,2.595443625663603,57.50497305898498,,,"7,900 words, about 40 minutes",2022-10-18T00:05:33,https://hakaimagazine.com/features/murder-at-sea/
"Jellyfish as a human food source has been touted as a solution to the increasing populations of these gelatinous invertebrates, but are Mediterranean diners really ready to have jellyfish for dinner?",Something’s Jellyfishy in the State of Italy,40.35612769999999,18.175673,Italy,Puglia,"2,600 words, about 13 minutes",2022-10-11T00:05:24,https://hakaimagazine.com/features/somethings-jellyfishy-in-the-state-of-italy/
"But the coral are trapped in tanks, still waiting to be released on the reefs.",A Moonshot for Coral Breeding Was Successful,27.943972,-82.44487470000001,United States,Florida,"2,500 words, about 12 minutes",2022-09-27T00:05:07,https://hakaimagazine.com/features/a-moonshot-for-coral-breeding-was-successful/
A cache of phytoplankton held at the Academy of Natural Sciences of Drexel University is helping to reconstruct historical coastlines.,"Philadelphia’s Diatom Archive Is a Way, Way, Wayback Machine",39.9568422,-75.1712897,United States,Pennsylvania,"2,500 words, about 12 minutes",2022-09-20T00:05:29,https://hakaimagazine.com/features/philadephias-diatom-archive-is-a-way-way-way-back-machine/
"To save endangered eels, researchers have been working for decades to figure out where they reproduce.","The Mysterious, Vexing, and Utterly Engrossing Search for the Origin of Eels",31.198840143659407,-66.88364208750001,,,"2,200 words, about 11 minutes",2022-09-13T00:05:43,https://hakaimagazine.com/features/the-mysterious-vexing-and-utterly-engrossing-search-for-the-origin-of-eels/
"Sure, they stink, but when we hastily dispose of dead whales, we’re depriving myriad organisms and the coastal environment of the ecological gifts the carcasses deliver.",The Eternal Life of Beached Whales,,,,,"2,600 words, about 13 minutes",2022-09-09T00:05:06,https://hakaimagazine.com/features/the-eternal-life-of-beached-whales/
Vietnam’s centuries-old whale worship shrines shed light on current and historical cetacean diversity and distribution.,Whales in the Temple,10.4172089,106.9713916,Vietnam,Thành phố Hồ Chí Minh,"1,600 words, about 8 minutes",2022-09-07T00:05:13,https://hakaimagazine.com/features/whales-in-the-temple/
How can we make sense of the biggest brains on the planet?,In the Mind of a Whale,,,,,"4,200 words, about 21 minutes",2022-09-06T00:05:55,https://hakaimagazine.com/features/in-the-mind-of-a-whale/
"Rather than relying solely on plastic equipment, shellfish and seaweed growers are embracing biodegradable alternatives.",The Tide Turns Toward Renewable Aquaculture Gear,,,,,,2022-09-02T00:05:52,https://hakaimagazine.com/features/the-tide-turns-toward-renewable-aquaculture-gear/
